Monat;Ort;Temperatur;Niederschlag
Januar;Hamburg;2,4;64
Januar;Muenchen;-1,2;48
Januar;Koeln;3,1;58
Februar;Hamburg;2,8;45
Februar;Muenchen;0,3;41
Februar;Koeln;3,6;44
Maerz;Hamburg;5,1;52
Maerz;Muenchen;4,4;56
Maerz;Koeln;6,2;60
April;Hamburg;8,7;41
April;Muenchen;8,9;62
April;Koeln;9,8;51
Mai;Hamburg;12,9;55
Mai;Muenchen;13,4;96
Mai;Koeln;14,1;70
Juni;Hamburg;15,8;72
Juni;Muenchen;16,5;118
Juni;Koeln;17,2;88
Juli;Hamburg;17,6;79
Juli;Muenchen;18,2;110
Juli;Koeln;19,1;87
August;Hamburg;17,4;76
August;Muenchen;17,8;104
August;Koeln;18,6;80
September;Hamburg;14,2;68
September;Muenchen;13,9;75
September;Koeln;15,1;66
Oktober;Hamburg;10,1;63
Oktober;Muenchen;9,2;58
Oktober;Koeln;11,0;61
November;Hamburg;6,0;68
November;Muenchen;3,9;56
November;Koeln;6,8;65
Dezember;Hamburg;3,3;71
Dezember;Muenchen;0,4;62
Dezember;Koeln;4,1;69
