Gewicht;Laenge;Breite;Sorte
117;171;40;Banane
200;79;76;Orange
159;76;70;Apfel
134;166;38;Banane
166;77;89;Apfel
91;201;39;Banane
114;112;27;Banane
173;75;83;Orange
139;182;35;Banane
181;79;59;Apfel
170;81;83;Orange
124;178;26;Banane
126;161;36;Banane
117;185;32;Banane
142;82;74;Apfel
137;201;36;Banane
182;80;76;Orange
158;90;80;Orange
156;67;73;Apfel
127;94;77;Apfel
152;69;79;Orange
123;69;83;Apfel
231;79;76;Orange
121;199;38;Banane
137;181;30;Banane
148;91;75;Apfel
155;144;32;Banane
146;66;80;Apfel
134;200;34;Banane
79;186;36;Banane
127;181;44;Banane
151;196;30;Banane
145;81;87;Apfel
153;79;77;Apfel
135;78;79;Apfel
153;69;67;Apfel
199;72;80;Orange
118;219;34;Banane
70;202;37;Banane
106;191;37;Banane
200;89;94;Orange
183;89;76;Orange
204;96;91;Orange
203;85;78;Orange
175;76;81;Orange
230;85;89;Orange
162;84;94;Orange
165;82;90;Orange
94;194;42;Banane
154;180;33;Banane
215;75;74;Orange
182;74;86;Apfel
145;76;78;Apfel
172;86;67;Apfel
192;72;74;Orange
158;71;72;Apfel
138;81;60;Apfel
124;175;35;Banane
167;94;81;Orange
81;201;31;Banane
138;68;74;Apfel
141;79;76;Apfel
142;87;81;Apfel
186;82;85;Orange
94;188;37;Banane
109;163;34;Banane
125;172;44;Banane
185;87;76;Orange
124;194;36;Banane
162;88;74;Orange
203;97;96;Orange
202;84;79;Orange
176;90;72;Orange
115;74;93;Apfel
126;198;36;Banane
187;84;87;Apfel
210;79;66;Orange
175;90;75;Apfel
124;196;33;Banane
136;71;67;Apfel
154;72;67;Orange
190;93;94;Orange
173;81;84;Apfel
121;174;40;Banane
205;82;77;Apfel
142;206;39;Banane
204;79;79;Orange
178;89;87;Orange
109;193;38;Banane
182;84;82;Orange
191;98;76;Orange
118;210;40;Banane
149;90;78;Orange
210;86;65;Orange
90;162;36;Banane
151;71;89;Orange
163;166;38;Banane
134;81;69;Apfel
182;88;64;Apfel
141;71;65;Apfel
129;78;88;Apfel
156;84;83;Orange
160;72;77;Apfel
150;74;69;Apfel
104;143;38;Banane
224;82;88;Orange
137;154;32;Banane
193;92;94;Orange
183;84;79;Apfel
176;83;76;Apfel
127;83;78;Apfel
167;73;73;Apfel
104;211;35;Banane
153;82;87;Apfel
121;150;32;Banane
165;71;79;Apfel
171;74;78;Orange
130;208;33;Banane
174;83;89;Orange
145;64;78;Apfel
